Name,"Nero's ""name""",Genre,Notes,More Notes,Watchers,
Yoku Wakaru Gendai Mahō,Pan!,Sol / Action Adventure.,PAAAAN,,B/N,
Kyousougiga,Oww my head,Brat of extra doom,Koto? Koto.,,B/N,
Neptunia,Nepchuunia,Brat of doom,Neeeeeep,,B/N,
18if,DreamADream,???,They wasted a perfectly good ending.,,B/N,
Campione,SwowdySword,Mindless,Nasu rip-off,,B/N,
Devilman Crybaby,PriestStream,Pretend mature,SMT: The Netflix,,B/N,
Slayers (R)evolution,,D&D,,,B/N,
Munto,NearlyAMagus,Slice of heaven,So much fridge logic,,B/N,
Scrapped Princess,No Coffins.,Family / Heritage ,,,B/N,
Mekakucity Actors,Snakes,Morality?,,,B/N,
Irodzuku Sekai,TimeTravelIsDepression,Coming of Age,,,B/N,
Black Rock Shooter,Worst Therapist Ever,Psychology / Chronmancy,,,B/N,
Alice & Zouroku,,Family,,,B/N,
Glass no Hana,"Updates are bad, mkay",Hope,,,B/N,
Symphogear,Desssss~,Music / Shonen,,,B/N,
Love Lab,USELESS,Especially Useless,,,B/N,
Zettai Bouei Levia-tan,Gacha Dragons Can Be Cute?!,Advertising ,,,B/N,
Yumekui Merry,Dreaming,Lovecraft but not,,,B/N,
Sora o Kakeru Shoujo,Space Weirdos,Spaaaaaaaaaaace,,,B/N,
Gen'ei o Kakeru ,Tarot is Magic.,Trauma,,,B/N,
Dennou Coil,ENONERONAME,Scifi,,,B/N,
Flip Flappers,Lucid Dreaming About Reality,LSD,Dreamland extravagance,,B/N/Q/D,
Machikado Mazoku,Useless Demon.,Slice of life,Absolutely adorable demon girl,,B/N/Q/D,
Dr. Stone,Tablet 1/2,Shounen science,,,B/N/Q/D,
Honzuki no Gekokujou,Tablet 2/2,Books!,Possible season 3.,Gets better in second halfs.,B/N/Q,
Chuunibyou,Chuu 2 / Cringe,Slice of life,Dekomori is best,MoriDeko is best,B/N/Q,
Youjo Senki,TanyaIsWar,War!,Fang Yuan,,B/N,
Gosick,Laplace was hungry.,Loli Holmes,Best done diviniation. End was... hmm.,,B/N,
Mondaijitachi,ProblemChildren,Adventure/Battle Royale,The LN are terribly translated.,,B/N,
Tower of God,Betrayal By Blonde,Battle / Hiking,Rachel is bad.,,B/N,
Musaigen no Phantom World,2chuu2die,Chuu,Chuu companion,,B/N,
Non Non Biyori,NonNonNonNon-,Slice of life,Season 3,,B/N/Q,
Boku wa tomodachi ga sukunai,InnerMonologueSaysWhat?,,,,B/N,
Dog Days,Suspicious Cuteness Is Suspicious,Trucks were not involved,Very fun.,,B/N,
Gochuumon wa Usagi,Fufu,Slice of Life / Rabbits,Caffination,,B/N,
Slayers 1,,?,Anime,,B/N,
Index ,,Magic & Espers,Where good ideas go to die,,B/N/Q,
Tamako Market,ALIEN CYBIRD,Slice of life,"Birds are the word
",,B/N/Q,
Yuru Camp,Shimarin,Slice of Life / CGDCS,,,B/N,
Railgun,Raildex,Scifi (skip the fantasy),,,B/N,
Yahari,Chuuni nietzschist says what,Decent High School Drama ,,,B/N/Q,
Shugo Chara,UMIIIIIII,Growth?,,,B/N/Q,
Gochuumon wa Usagi,Fufu,Slice of Life / Rabbits,Caffeination,,B/N/Q,
Majo no Tabitabi,This Spell List makes no sense!,,,,B/N/Q,
Kamisama ni Natta Hi,SuspiciousChuu ,Depressing / Odd,,,B/N,
Urasekai Picnic,There is no picnic here.,Friendship / Surrealism. ,Also picnics.,,B/N/Q,
Log Horizon,"SAO, but actually good.",VRMMO / Isekai,,,B/N/Q,
Yama Susume,Dess is heights,Slice of Life / CGDCS,,,B/N/Q,
"Kumo Desu ga, Nanika?",Idiot (Spider),Spider Isekai,One of the only new things we actually finished that season,,B/N/Q,
Hayate no Gotoku,Idiotka,A butler and his tsundere,,,B/N/Q,
Shadows House,"Kidnapping or not, it's still cruel.",Mysterious?,Season 2 on the way,,B/N/Q,
Super Cub,Unsafe bike use!,SoL?,,,B/N/Q,
K-On!,Adorable Idiotka Fox(?)s,SoL as fuck,Adorably Useless,,B/N/Q,
Mieruko,Best Poker Face,Horror / Comedy,,,B/N/Q,
Kancolle,Boat Afterlife,CGDCTWBMBAAM,,,B/N/Q,
Konosuba,Hell. Especially Kazu.,Other World Useless,Fools,,B/N/Q,
"Inari, Konkon, Koi Iroha",Adorable Idiotka Fox(!)s,Thunder & Kaminari,,,B/N/Q,
Haifuri,"Boats, Rats and UMI, oh my",GuP but boats?,,,B/N/Q,
Leadale,,,,,B/N/Q,
Fantasy Bishoujo,This is terrible.,Fantasy?,,,B/N/Q,
Mokke,Knock-Off Would Be Miko(s),"Not-Slice of Life
",,,B/N,
Minami-ke,Best sisters,SoL,,,B/N/Q,
Shokei Shoujo no Virgin Road,Total Zack. /Total/ Zach.,Paradox,,,B/N/Q,
Spy x Family,Tiny Alien?,,Season 2 on the way,,B/N/Q,
Tetsuwan Birdy,The Conceit Is Questionable,Sci-Fi,,,B/N/Q,
Paripi Koumei,Music is War!,"Idols and Tacticians, oh my.",,,B/N/Q,
Lycoris Recoil,"They aren't wrong, but they should be.",,,,B/N/Q,
RWBY: Ice Queendom,,,,,B/N/Q,
Shadows House S2,"Kidnapping or not, it's still cruel.",,,,B/N/Q,
Mamahaha no Tsurego ga Moto Kanodatta,Tsun on Tsun action.,My little sister can't possibly be this cute,,,B/N/Q,
Slow Loop,Fiiiiishy.,Yuru Camp,,,B/N/Q,
Yamato,Spa~ce!,,,,B/N/Q,
Shinmai Renkinjutsushi no Tenpo Keiei,"Alchemist, Sword, Bow & Wife",CADPT,,,B/N/Q,
Tensei Shitara Ken Deshita,Cat=Sword,,,,B/N/Q,
Bocchi the Rock,The Pink Creature is a Demon.,CGDCS,,,B/N/Q,
Hyakko,The Four Idiot Kages,SOL? / Ranma-but-worse?,,,B/N/Q,
Gundam - Witch of Mercury,Useless Tomato,,,,B/N/Q,
Summer Time Render,"if x == dead; reset, else continue",Mystery,Timeloop / Simulation / Paradox,,B/N/Q,
Kage no Jitsuryokusha ni Naritakute!,All Chuu is Truu,,,,B/N/Q,
Orbital Children,Definitely Not Yuuko's Fault,,,,B/N/Q,
Tensei Oujo to Tensai Reijou no Mahou Kakumei,Anti-OSHA Not-Princess?,,,,B/N/Q,
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu",I demand a higher CR!,Disaapointing,,,B/N/Q/K,
Oniichan oshimai,,,,,B/K/Q,
Nagatoro S1-2,,,,,B/Q,
Bofuri (Season 2),N/A,,,,B/Q/K,
Jijou wo Shiranai (etc)  ,Blunt as a warhammer,,,,B/N/Q,
Kono Subarashii Sekai ni Shinkuu wo,2Chuu4School,,,,B/N/Q,
Kaguya-sama wa honto ni baka desu ne,Baughn / Quick,,,,B/Q,
Jigokuraku,Otherside Murder Spree,,,,B/N/Q,
Kubo-san wa Mob wo Yuresanai,Psychics?,,,,B/N/Q,
Kill la Kill,,,,,B/Q,
Atelier Ryza,Clothes makith the Adventurer,,,,B/N/Q,
Re-Zero ,Failing every looper class there is.,,,,B/N/Q,
*monogatari ,Idiot Puts Vampire Charm to the Test.,,,,B/N/Q,
S-Rank Musume,Swords Deserve Hugs,,,,B/N/Q/K,
Kikansha no Mahou,Project: Ultra Fuck-The-Timeline,,,,B/N/Q/K,
The 100 girlfriends who really*5 love you,0.11002% of a Jonestown in the making.,,,,B/N/Q,
16bit Sensation - Another Layer,They wasted several perfectly good plots,,,,B/N/Q,
Sousou no Frieren,Living Archive (+apprentice) ((+swordboy)),Travel / Magic ,,,B/Q/K/N/D,
Kusuriya no Hitorigoto,Alchemist = Cat ???,S1+2,,,B/Q/K/N,
Shangri-la Frontier,"Skilled, but not cheat skilled.",,,,B/Q/K/N,
Saijaku Tamer wa Gomi Hiroi no Tabi wa Hajimemashita,A System of λ-Skill,,,,B/Q/K/N,
Akuyaku Riijou Level 99,N/A,,,,B/Q,
7th life,N/A,,,,B/Q/K,
Yuru Yuri,Slice of Dess,,,,B/N/Q,
Dainanaoji,N/A,Insane magical fanatic,,,B/Q,
Dungeon Meshi,Resource Gathering (Ex),Dnd / Food / Black Magic,,,B/Q/N/D,
Tokidoki Bosotto Russia-go Dereru Tonari no Alya-san,Two idiots and an enabler.,SoL / Politics,"Potential, but politics nonsense.",,B/Q/N/D,
Giji Harem,,,,,B/Q/K/D?,
Spice and Wolf (2024),(Wolf) Goddess of Trade & Harvest,Adam Smith cried,,,B/Q/N/K,
Make Heroine wa oosugiru,Not a single successful social roll.,,,,B/Q/N/D,
Dungeon no naka no hito,,,,,B/Q/D/K,
Monogatari Monster Season,,,,,B/Q/D/K,
Bocchi the Smol,,Friendship!,,,B/Q/D/N,
Acro Trip,Fangirl Cousins,,,,B/Q/D/N,
Maou 2099,Demon king streamer,,,,B/Q/D/N,
Magilumiere,Read the damn manual,,,,B/Q/D/N,
"Bye-bye, Earth",N/A,,,,Q/D,
Komi-san wa komyushou,,,,,B/Q/D,
Hyouka ,Curiosity Club,,,,B/Q/D/N,
Little Busters,Simulated Loops?,Time loop?,,,B/Q/D/N,
Nihon e Youkoso Elf-san,So many unanswered questions,Slice of Life?,,,B/Q/D/N,
Making Magic,,,,,B/Q/D,
Okitsura – Okinawan love,,,,,B/Q/D,
Girumasu - Guild Receptionist,,,,,B/Q/D,
Little Busters,Simulated Loops?,,,,B/Q/D/N,
Sentai Red Isekai de Boukensha ni Naru,Battle of the naratives.,,,,B/Q/D/N,
Apocalypse Hotel,"Robots are bad at hotels, good at aliens",Slice of... ?,,,B/Q/D/N,
mono,Y-Ur,Slice of Life,,,B/Q/D/N,
Danjo no Yuujou wa Seiritsu suru,-,Trigon,,,B/Q/D ,
Lycoris Recoil - Friends are thieves of time,-,,,,B/Q/D/N,
Zatsu Tabi,Manga Artist Discovers Public Transport,Slice of food,,,B/Q/D/N,
Bye Bye Earth S2,-,Conceptual,Moon lore?,,B/Q/D,
Teogonia,-,No tea here,Drinking is power?,,Q/D ?,
Angel Beats,Ain't Dead Yet Battlefront,,Key,,B/Q/D/N,
Gundam GQuuuuuux,-,,,,B/Q/D,
Ruri no Houseki,The Weird One(s),,,,B/Q/D/N,
Dr Stone S4,Tablet 1/2,,,,B/Q/D/N,
Bad Girl,,,,,B/Q/D,
Clevatess,"Classic style, novel protags.",,,Dark Fantasy,B/Q/D/N,
Sono Bisque Doll,,,,,Q/D,
Tsuyokute New Saga,,,,,Q/D,
To be Hero X,PR Is Power,,Potentially short chinese series,,B/Q/D/N,
Dainanaoji,,,,,B/Q/D,
Ruri no Houseki,,,,,B/Q/D,
Summer Pockets,Chuuni boy meets bad swimwear,,Key,,B/Q/D/N,
Silent Witch,Adoptableness <= Bulliableness,,,,B/Q/D/N,
Imprison the Spyce,,,,,B/Q/D,
Boku dake ga Inai Machi,A very long run back.,Time Loop / Travel,,,B/Q/D/N,
Vivy: Fluorite Eyes,Very silly AI's,,,,B/Q/D/N,
A Place Further Than The Universe,Slice of Antartic,,,,B/Q/D/N,
Tsuredure Children,,,,,B/Q/D,
Tomodachi no Imouto,,,,,B/Q/D,
Alma-chan,Adaption from 4koma went badly.,,,,B/Q/D/N,
Yasei no last Boss,,,,,B/Q/D,
Gamers,"Many idiots, many misunderstandings.",,,,B/Q/D/N,
Who Made Me a Princess,,,,,B/Q/D,
Ansatsusha de Aru no Status ga Yuusha yori mo Akiraiki,,,,,Q/D,
Soredemo Ayumu wa Yosetekuru,An Idiot at Love and an Idiot at Shogi,,,,B/Q/D/N,
Shoushimin Series,An ex-detective and an ex-grudge demon,,,,B/Q/D/N,
Tensei shitara Dragon no Tamago ni natteita,,,,,B/Q/D,
Kaya-chan wa Kowakunai,Baughn bait. /Successful/ Baughn Bait,,,,B/Q/D/N,
Yuusha-kei,"Dark Souls, the Animing",,,,B/Q/D/N,
Release that Witch,"Hero Units, the Witchening",,,,B/Q/D/N/K,
Medalist,,,,,B/Q/D,
Rewrite,Too much DLC,Key,,,B/Q/D/N,
Kanata no Astra,"Idiots, IN SPACE",,,,B/Q/D/N,B/Q/D/N
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Abandoned,,,,,,
Jungle wa Itsumo Hale nochi Guu,Nyarly's discount cousin,Abandoned after 2 eps,,,B/N,
Kuma Kuma Kuma Bear,Cheat Item: Bear,Abandoned after 4 eps,Ruined by adaption,,B/N,
Medaka Box,Suspicious Word!,Abandoned in season 2.,,,B/N,
Mawaru Penguindrum,CyGuins,Abandoned after 3 eps,,,B/N,
Isekai Ojisan,,-,,,B/N,
Isekai Pharmacy,,2?,,,B/Q/N?,
Tokyo Mew Mew New,,3 (drop),Aged badly,,B/Q,
Vividred,,,Sketchy,,B/N,
Ayakashi Triangle,,1,Sketchy,,,
Fullmetal Panic!,,Fumoffu,Too much teenage,,B/N/Q/K,
Rougo ni Sonaete Isekai de 8-manmai,Merchant Princess FUMA,5 (Drop),Not adapted enough,,,
Magical Girl Destroyers,,,Boring and too lul random,,B/N/Q,
Bravern,Self aware mecha OF DESS,3,Too dess.,,,
Konosuba - S3,Hell. Especially Kazu.,S3 Ep2,Rote.,,B/N/Q,
Dead Dead DEmon,,?,Too incomprehensible,,,
The Expanse,Everyone is the bad guy.,Season 3ish? ,Lack of interest,,B/Q/N/K,
Allison & Lillia,,One or two before S1 end,Low quality,,,
Terminator Zero,"Non-looper fights looping AI, hates cats",,Boring,,B/Q/N/D,
Around 40 otoko no Isekai Tsuuhan,Alibaba shopping madness,9,Blandness,,B/Q/N/D,
Slow Start,Baughn Baughn'd,,,,B/Q/D,
Nyaaaaaaa of the living cat,Not quite interesting enough,5,"Premise was amusing, but didn't do much with it",,B/Q/D/N,
