Name,"Nero's ""name""",Genre,Recommender,Notes,Planned Watchers?,Extra Notes
Short List,,,,,,
Fullmetal Alchemist: Brotherhood,,,Nero,,,
Steins;Gate,,,Quickshot,,,
Charcoal Feather Federation,,,Baughn,,,
,,,Dagger,,,
,,,,,,
General,,,,,,
Aldnoah Zero,,Idiotic rich people,Baughn,,,
Sora no Woto,,Slice of apocalypse,,,,
Katanagatari,An Apple Carved is still an Apple.,Philoswords,Nero,Long eps (45min),,
Starship Operators,,Space logistics,,,kim?,
Mushishi,,Insects are peace.,,Insects are peace!,,
Kabaneri of the Iron Fortress,,Zombiepunk,,Death!,,
Fractale,,Inductive recursion,,,,
Last Exile,,Aerial Dreadnoughts?,,,,
C(CC),,C,,,,
FLCL  / Furi Kuri,,,,,,
Deca-Dence,,,,,,
Tenet,,teneT,Baughn (Nero backs),FILM?,B/N/Q,
Steamboy,,,,Jules Verne: The Anime!,,
Kujira no Kora wa Sajou ni Utau,,,,Caught Baughn's interest,,
Mushoku Tensei: Isekai Ittara Honki Dasu,,,,"Possibly best rated Isekai, has a personal development story",,
Re Zero S3,Maybe,MAaaaaybe,,,,
Ghost Hunt,,,,Whispered stuff,,
Barakamon,AI recommendation...,,,,,
Shinsekai yori,,,,,,
Vinland Saga,,,,,,
Wixoss,CardboardGeniesOnTheClock,Children's card game,,Existential horror,,
Odd Taxi,,,,It keeps getting mentioned online as good,,
Shiguang Dailiren (Link Click),,,,Seems like it could be a good temporal story,,
Kanata no Astra,,,,Mystery Lost in Space apparently,,
,,,,,,
Serial Experiments Lain,,,,,,
Baccano!,,,,,,
Lord of Mysteries,,,,,,
Zenshu,,,,,,
The Summer Hikaru Died,,,,,,
,,,,,,
,,,,,,
Refresh / Haitus,,,,,,Progress?
Zettai Karen Children,Everyone will die.,Child abuse,,,,28
Record of Lodoss War,DnD-ish,D&D,,,,6
Shirobako,Cat.,Anime,,,,13
Tower of God (Season 2),"Betrayal By Blonde, Redux",,,,,1
Golden Kamuy,Wolf and Bear,Adventure / Murder,,,,27
Mitsuboshi Colours,Three brats,,,,,3
Koi wa Futago de Warikirenai,,,,,,4
