Name,"Nero's ""name""",Next Ep,,Genre,Notes,Watchers,Source (empty means Subsplease or batch link was given)
Swallowed Star,N/A,104,,"Very long chinese series, sometimes good",,B/Q,
Ciel nosurge,,37,,Otherworld camping,,B/Q/D,
Granbelm,,4,,Just why,,B/Q/D,
Yamato,,S3-05,,,,Q/D,
Steins;Gate,,12,,,,B/Q/D/N,
Lucky Star,,23,,,,B/Q/D,
Haibane Renmei,,1,,,,B/Q/D/N,
Serial Experiments Lain,,1,,,,B/Q/D/N,
,,,,,,,
Yuru Yuri,,7,,,,B/Q/D,
,,,,,,,
Current Season,Normal Source,,,,,,
Doulou Dalu 2,The con of Century (millenia year old spirit beast),140,✓,Cultivation Story,"Very long chinese series, but good",B/Q/N,Nyaa
"Jigokuraku, Second Season",Otherside Murder Spree,18,✓,,,B/Q/N,
Kirei ni Shite Moremasu ka,,6,✓,,,B/Q,
Girls und Panzer MLLD,,10,✖,,,,
Dr. Stone,Tablet 1/2,35,✖,Shounen science,,B/N/Q,
Honzuki no Gekokujou,Tablet 2/2,9,✖,Books!,,B/N/Q/D,
Wistoria S2,,9,✓,,,B/Q/D,
Witch Hat Atelier,Big Hat.,12,✖,Magic & Mystery,,B/N/Q/D,
Jishou Akuyaku Reijou na Konyakusha,,11,✖,,,B/Q/D,
GochiUsa,,Sisters,✖,,,B/Q/D/N,
,,,,,,,
,,,,,,,
Waiting,,,,,,,
Girls und Panzer,"Haifuri, but with tanks! ",movie 5?,,Haifuri-like,,B/N/Q,
Seishun Buta Yarou wa Bunny Girl,,2026-Movie,,,,B/Q/D/N,
All You Need Is Kill,Timeloop war,,,Movie,,,
